Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Status
eiderdown-from-the-island-of-svalbard,,,,,,,Size,King,Weight,Polar,,,,,,0,deny,manual,20152.01,,TRUE,TRUE,,,,,,,,,kg,
eiderdown-from-the-island-of-svalbard,,,,,,,Size,King,Weight,Summer,,,,,,0,deny,manual,6354.10,,TRUE,TRUE,,,,,,,,,kg,
eiderdown-from-the-island-of-svalbard,,,,,,,Size,King,Weight,Winter,,,,,,0,deny,manual,12554.14,,TRUE,TRUE,,,,,,,,,kg,
eiderdown-from-the-island-of-svalbard,,,,,,,Size,Superking,Weight,All Year,,,,,,0,deny,manual,9642.00,,TRUE,TRUE,,,,,,,,,kg,
eiderdown-from-the-island-of-svalbard,,,,,,,Size,Superking,Weight,Polar,,,,,,0,deny,manual,23699.18,,TRUE,TRUE,,,,,,,,,kg,
eiderdown-from-the-island-of-svalbard,,,,,,,Size,Superking,Weight,Summer,,,,,,0,deny,manual,7248.41,,TRUE,TRUE,,,,,,,,,kg,
eiderdown-from-the-island-of-svalbard,,,,,,,Size,Superking,Weight,Winter,,,,,,0,deny,manual,14429.18,,TRUE,TRUE,,,,,,,,,kg,
eiderdown-from-the-island-of-svalbard,,,,,,,Size,Superking Extra Long,Weight,All Year,,,,,,0,deny,manual,10874.49,,TRUE,TRUE,,,,,,,,,kg,
eiderdown-from-the-island-of-svalbard,,,,,,,Size,Superking Extra Long,Weight,Polar,,,,,,0,deny,manual,25848.53,,TRUE,TRUE,,,,,,,,,kg,
eiderdown-from-the-island-of-svalbard,,,,,,,Size,Superking Extra Long,Weight,Summer,,,,,,0,deny,manual,8480.90,,TRUE,TRUE,,,,,,,,,kg,
eiderdown-from-the-island-of-svalbard,,,,,,,Size,Superking Extra Long,Weight,Winter,,,,,,0,deny,manual,15661.68,,TRUE,TRUE,,,,,,,,,kg,
eiderdown-from-the-island-of-svalbard,,,,,,,Size,Emperor,Weight,All Year,,,,,,0,deny,manual,12392.56,,TRUE,TRUE,,,,,,,,,kg,
eiderdown-from-the-island-of-svalbard,,,,,,,Size,Emperor,Weight,Polar,,,,,,0,deny,manual,29016.19,,TRUE,TRUE,,,,,,,,,kg,
eiderdown-from-the-island-of-svalbard,,,,,,,Size,Emperor,Weight,Summer,,,,,,0,deny,manual,9672.06,,TRUE,TRUE,,,,,,,,,kg,
eiderdown-from-the-island-of-svalbard,,,,,,,Size,Emperor,Weight,Winter,,,,,,0,deny,manual,17829.81,,TRUE,TRUE,,,,,,,,,kg,
eiderdown-from-the-island-of-svalbard,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1020/3765/1794/files/Down_143-Eiderdown.jpg,2,"Norwegian Eiderdown Duvet, Hand picked, limited supply",,,,,,
eiderdown-from-the-island-of-svalbard,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1020/3765/1794/files/Duvet_Close_Up_166-Eiderdown-scaled.jpg,3,"Norwegian Eiderdown Duvet, Hand picked, limited supply",,,,,,
eiderdown-from-the-island-of-svalbard,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1020/3765/1794/files/Duvet_Close_Up_176-Eiderdown.jpg,4,"Norwegian Eiderdown Duvet, Hand picked, limited supply",,,,,,
eiderdown-from-the-island-of-svalbard,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1020/3765/1794/files/Packaging_025.jpg,5,"Norwegian Eiderdown Duvet, Hand picked, limited supply",,,,,,
eiderdown-from-the-island-of-svalbard,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1020/3765/1794/files/Rolled_Up_Duvet_046-Eiderdown-scaled.jpg,6,"Norwegian Eiderdown Duvet, Hand picked, limited supply",,,,,,
masurian-white-goose-down-duvet,"Masurian White Goose, 100% Down Duvet, Fill Power 915","<p>Premium Plus Collection Duvet</p><p><strong>Weight:</strong><br />
Summer: for hot sleepers and warm bedrooms.<br />
All year: for temperature controlled bedrooms with relatively stable temperatures year-round.<br />
Winter: for cold sleepers and cold bedrooms.<br />
Polar: for ice cold bedrooms and very cold sleepers.</p>
<p>This is a non-commercially available quality that exceeds the fill power scale. However, a generous portion is secured each year.</p>
<p>Each down cluster is significantly larger than the peak commercially available qualities.</p>
<p>The density is extreme and the ability to trap air for insulation and breathability is as high as it gets for goose down.</p>
<p>The down has good cling, creating extra pockets of air in between the down clusters.</p>
<p>For those that prefer a lofty-looking duvet for aesthetic reasons, this collection can be chosen as Winter weight. It will work well all year round in air-conditioned bedrooms or bedrooms where the night-time temperatures are a few degrees colder than during the day. The Polar weight will be fine for particularly chilly air-conditioned bedrooms.</p>
<p>Available in Summer, All-year, Winter and Polar and therefore suitable for all climates and all possible personal preferences. Can also be tailor-made to suit individual preferences. Each duvet is made to order with a three week lead time.</p>
<p>We recommend to ship the duvet back to us every ten years for complete <a href=""https://www.norvegr.com/lifetime-products/"">restoration</a>. The down inside these duvets is very durable and can be restored up to five times without the quality decreasing – thereby lasting at least 60 years if maintained properly. The restoration cost is the retail price at time of restoration, divided by four. Shipping back and forth is extra, but thanks to a generous discount with our courier, costs are modest. We will gladly help arrange your product’s return to make the process as effortless as possible for you.</p>
#sp-ea-9981 .spcollapsing { height: 0; overflow: hidden; transition-property: height;transition-duration: 300ms;}#sp-ea-9981.sp-easy-accordion&gt;.sp-ea-single {margin-bottom: 10px; border: 1px solid #e2e2e2; }#sp-ea-9981.sp-easy-accordion&gt;.sp-ea-single&gt;.ea-header a {color: #444;}#sp-ea-9981.sp-easy-accordion&gt;.sp-ea-single&gt;.sp-collapse&gt;.ea-body {background: #fff; color: #444;}#sp-ea-9981.sp-easy-accordion&gt;.sp-ea-single {background: #eee;}#sp-ea-9981.sp-easy-accordion&gt;.sp-ea-single&gt;.ea-header a .ea-expand-icon { float: left; color: #bfa356;font-size: 16px;}<div id=""sp_easy_accordion-1785258043""><div id=""sp-ea-9981"" class=""sp-ea-one sp-easy-accordion"" data-ea-active=""ea-click"" data-ea-mode=""vertical"" data-preloader="""" data-scroll-active-item="""" data-offset-to-scroll=""0""><div class=""ea-card ea-expand sp-ea-single""><h3 class=""ea-header""><a class=""collapsed"" id=""ea-header-99810"" role=""button"" data-sptoggle=""spcollapse"" data-sptarget=""#collapse99810"" aria-controls=""collapse99810"" href=""#"" aria-expanded=""true""><i aria-hidden=""true"" role=""presentation"" class=""ea-expand-icon eap-icon-ea-expand-minus""></i> Duvet Buying Guide</a></h3><div class=""sp-collapse spcollapse collapsed show"" id=""collapse99810"" data-parent=""#sp-ea-9981"" role=""region"" aria-labelledby=""ea-header-99810""> <div class=""ea-body""><h2><a href=""/what-constitutes-a-good-duvet/"" target=""_blank"" rel=""noopener"">What constitutes a good duvet?</a></br><br /><a href=""/how-to-choose-between-our-duvet-collections/"" target=""_blank"" rel=""noopener"">How to Choose a Duvet Collection</a></br><br /><a href=""/choosing-your-perfect-duvet-size/"" target=""_blank"" rel=""noopener"">How to Choose a Duvet Size</a></br><br /><a href=""/how-to-choose-a-duvet-weight/"" target=""_blank"" rel=""noopener"">How to Choose a Duvet Weight</a></br><br /><a href=""/duvet-vs-comforter/"" target=""_blank"" rel=""noopener"">Duvet Vs Comforter</a></h2></div></div></div></div></div>
#sp-ea-7709 .spcollapsing { height: 0; overflow: hidden; transition-property: height;transition-duration: 300ms;}#sp-ea-7709.sp-easy-accordion&gt;.sp-ea-single {margin-bottom: 10px; border: 1px solid #e2e2e2; }#sp-ea-7709.sp-easy-accordion&gt;.sp-ea-single&gt;.ea-header a {color: #444;}#sp-ea-7709.sp-easy-accordion&gt;.sp-ea-single&gt;.sp-collapse&gt;.ea-body {background: #fff; color: #444;}#sp-ea-7709.sp-easy-accordion&gt;.sp-ea-single {background: #eee;}#sp-ea-7709.sp-easy-accordion&gt;.sp-ea-single&gt;.ea-header a .ea-expand-icon { float: left; color: #444;font-size: 16px;}<div id=""sp_easy_accordion-1785258043""><div id=""sp-ea-7709"" class=""sp-ea-one sp-easy-accordion"" data-ea-active=""ea-click"" data-ea-mode=""vertical"" data-preloader="""" data-scroll-active-item="""" data-offset-to-scroll=""0""><div class=""ea-card sp-ea-single""><h3 class=""ea-header""><a class=""collapsed"" id=""ea-header-77090"" role=""button"" data-sptoggle=""spcollapse"" data-sptarget=""#collapse77090"" aria-controls=""collapse77090"" href=""#"" aria-expanded=""false""><i aria-hidden=""true"" role=""presentation"" class=""ea-expand-icon eap-icon-ea-expand-plus""></i> What kind of down goes into the Premium Plus Collection duvets?</a></h3><div class=""sp-collapse spcollapse spcollapse"" id=""collapse77090"" data-parent=""#sp-ea-7709"" role=""region"" aria-labelledby=""ea-header-77090""> <div class=""ea-body""><p>The purity of the down inside our Premium Plus Collection duvets is 100 %. In other words, there are no feathers inside. The fill power of the Masurian down in these duvets top the scale at 900+. This is higher than one gets when dealing with commercially available qualities of down.</p><p>These are our very best goose down duvets. Made with our signature channel construction, these duvets provide a balance between insulation and breathability that is second to none for a goose down duvet. You keep a perfectly even and supremely comfortable temperature all night long. Moreover, these duvets are so light that going to bed underneath them feels like sleeping under a warm cloud.</p></div></div></div><div class=""ea-card sp-ea-single""><h3 class=""ea-header""><a class=""collapsed"" id=""ea-header-77091"" role=""button"" data-sptoggle=""spcollapse"" data-sptarget=""#collapse77091"" aria-controls=""collapse77091"" href=""#"" aria-expanded=""false""><i aria-hidden=""true"" role=""presentation"" class=""ea-expand-icon eap-icon-ea-expand-plus""></i> What other key features do these duvets have?</a></h3><div class=""sp-collapse spcollapse spcollapse"" id=""collapse77091"" data-parent=""#sp-ea-7709"" role=""region"" aria-labelledby=""ea-header-77091""> <div class=""ea-body""><p>Filled in a channel constructed duvet casing made from the finest batiste, 100 % Egyptian cotton: The seams are hidden inside the casing on three sides, and there is no stitching.</p><p>Instead, we use baffle walls between the channels, to make sure that the down reaches everywhere inside the casing. This way, the duvet is equally as thick all the way through the channels, and you will not have any cold spots against your body.</p></div></div></div></div></div>",Norvegr,Duvets,"Duvets, Premium Plus Collection",TRUE,Size,Double,Weight,All Year,,,,,,0,deny,manual,2089.23,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1020/3765/1794/files/premium-plus-down-duvets.jpg,1,"Masurian White Goose, 100% Down Duvet, Fill Power 915",FALSE,"Masurian White Goose, 100% Down Duvet, Fill Power 915",,,kg,active
masurian-white-goose-down-duvet,,,,,,,Size,Double,Weight,Polar,,,,,,0,deny,manual,4651.91,,TRUE,TRUE,,,,,,,,,kg,
masurian-white-goose-down-duvet,,,,,,,Size,Double,Weight,Summer,,,,,,0,deny,manual,1394.07,,TRUE,TRUE,,,,,,,,,kg,
masurian-white-goose-down-duvet,,,,,,,Size,Double,Weight,Winter,,,,,,0,deny,manual,3032.38,,TRUE,TRUE,,,,,,,,,kg,
masurian-white-goose-down-duvet,,,,,,,Size,Emperor,Weight,All Year,,,,,,0,deny,manual,3780.15,,TRUE,TRUE,,,,,,,,,kg,
masurian-white-goose-down-duvet,,,,,,,Size,Emperor,Weight,Polar,,,,,,0,deny,manual,8172.78,,TRUE,TRUE,,,,,,,,,kg,
masurian-white-goose-down-duvet,,,,,,,Size,Emperor,Weight,Summer,,,,,,0,deny,manual,2743.05,,TRUE,TRUE,,,,,,,,,kg,
masurian-white-goose-down-duvet,,,,,,,Size,Emperor,Weight,Winter,,,,,,0,deny,manual,5166.70,,TRUE,TRUE,,,,,,,,,kg,
masurian-white-goose-down-duvet,,,,,,,Size,King,Weight,All Year,,,,,,0,deny,manual,2634.08,,TRUE,TRUE,,,,,,,,,kg,
masurian-white-goose-down-duvet,,,,,,,Size,King,Weight,Polar,,,,,,0,deny,manual,5587.55,,TRUE,TRUE,,,,,,,,,kg,
masurian-white-goose-down-duvet,,,,,,,Size,King,Weight,Summer,,,,,,0,deny,manual,1844.98,,TRUE,TRUE,,,,,,,,,kg,
masurian-white-goose-down-duvet,,,,,,,Size,King,Weight,Winter,,,,,,0,deny,manual,3686.21,,TRUE,TRUE,,,,,,,,,kg,
masurian-white-goose-down-duvet,,,,,,,Size,Single,Weight,All Year,,,,,,0,deny,manual,1555.65,,TRUE,TRUE,,,,,,,,,kg,
masurian-white-goose-down-duvet,,,,,,,Size,Single,Weight,Polar,,,,,,0,deny,manual,3336.75,,TRUE,TRUE,,,,,,,,,kg,
masurian-white-goose-down-duvet,,,,,,,Size,Single,Weight,Summer,,,,,,0,deny,manual,1067.16,,TRUE,TRUE,,,,,,,,,kg,
masurian-white-goose-down-duvet,,,,,,,Size,Single,Weight,Winter,,,,,,0,deny,manual,2220.74,,TRUE,TRUE,,,,,,,,,kg,
masurian-white-goose-down-duvet,,,,,,,Size,Superking Extra Long,Weight,All Year,,,,,,0,deny,manual,3302.93,,TRUE,TRUE,,,,,,,,,kg,
masurian-white-goose-down-duvet,,,,,,,Size,Superking Extra Long,Weight,Polar,,,,,,0,deny,manual,7079.32,,TRUE,TRUE,,,,,,,,,kg,
masurian-white-goose-down-duvet,,,,,,,Size,Superking Extra Long,Weight,Summer,,,,,,0,deny,manual,2389.83,,TRUE,TRUE,,,,,,,,,kg,
masurian-white-goose-down-duvet,,,,,,,Size,Superking Extra Long,Weight,Winter,,,,,,0,deny,manual,4524.15,,TRUE,TRUE,,,,,,,,,kg,
masurian-white-goose-down-duvet,,,,,,,Size,Superking,Weight,All Year,,,,,,0,deny,manual,2976.02,,TRUE,TRUE,,,,,,,,,kg,
masurian-white-goose-down-duvet,,,,,,,Size,Superking,Weight,Polar,,,,,,0,deny,manual,6508.16,,TRUE,TRUE,,,,,,,,,kg,
masurian-white-goose-down-duvet,,,,,,,Size,Superking,Weight,Summer,,,,,,0,deny,manual,2062.92,,TRUE,TRUE,,,,,,,,,kg,
masurian-white-goose-down-duvet,,,,,,,Size,Superking,Weight,Winter,,,,,,0,deny,manual,4189.72,,TRUE,TRUE,,,,,,,,,kg,
masurian-white-goose-down-duvet,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1020/3765/1794/files/Down_085_cropped-Premium-Plus.jpg,2,"Masurian White Goose, 100% Down Duvet, Fill Power 915",,,,,,
masurian-white-goose-down-duvet,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1020/3765/1794/files/Duvet_Close_Up_197-Premium-Plus-scaled.jpg,3,"Masurian White Goose, 100% Down Duvet, Fill Power 915",,,,,,
masurian-white-goose-down-duvet,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1020/3765/1794/files/Packaging_023-1.jpg,4,"Masurian White Goose, 100% Down Duvet, Fill Power 915",,,,,,
masurian-white-goose-down-duvet,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1020/3765/1794/files/Rolled_Up_Duvet_018-1-Premium-Plus-scaled.jpg,5,"Masurian White Goose, 100% Down Duvet, Fill Power 915",,,,,,
masurian-white-goose-down-duvet,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1020/3765/1794/files/Rolled_up_Duvet_091-copy-Premium-Plus-scaled.jpg,6,"Masurian White Goose, 100% Down Duvet, Fill Power 915",,,,,,
masurian-white-goose-down-duvet,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1020/3765/1794/files/Rolled_up_Duvet_106-copy-Premium-Plus-scaled.jpg,7,"Masurian White Goose, 100% Down Duvet, Fill Power 915",,,,,,
